ndmi_mean,ndmi_std,date,area
-0.19465843,0.04217213,2017-03-01,galdogob
-0.19168414,0.045907814,2017-04-01,galdogob
-0.19747007,0.043782964,2017-05-01,galdogob
-0.15943635,0.06612332,2017-06-01,galdogob
-0.18431342,0.040885504,2017-07-01,galdogob
-0.19519752,0.038945056,2017-08-01,galdogob
-0.1937926,0.03962633,2017-09-01,galdogob
-0.19669904,0.044299465,2017-10-01,galdogob
-0.18390594,0.039847173,2017-11-01,galdogob
-0.16211177,0.042239618,2017-12-01,galdogob
-0.17133734,0.04075822,2018-01-01,galdogob
-0.17439875,0.04061216,2018-02-01,galdogob
-0.18905695,0.040583327,2018-03-01,galdogob
-0.19121502,0.0437013,2018-04-01,galdogob
-0.19875263,0.055892486,2018-05-01,galdogob
-0.16054456,0.044731054,2018-06-01,galdogob
-0.1817638,0.04600866,2018-07-01,galdogob
-0.19032909,0.042673275,2018-08-01,galdogob
-0.20101823,0.037246224,2018-09-01,galdogob
-0.19638948,0.041119196,2018-10-01,galdogob
-0.17053863,0.036799774,2018-11-01,galdogob
-0.17053863,0.036799774,2018-12-01,galdogob
-0.18505414,0.03954517,2019-01-01,galdogob
-0.18288428,0.04147209,2019-02-01,galdogob
-0.1890737,0.04387658,2019-03-01,galdogob
-0.18256672,0.04487365,2019-04-01,galdogob
-0.19588694,0.043184582,2019-05-01,galdogob
-0.16143586,0.06874884,2019-06-01,galdogob
-0.18915868,0.044919554,2019-07-01,galdogob
-0.1955609,0.043559536,2019-08-01,galdogob
-0.20381297,0.041359544,2019-09-01,galdogob
-0.20046574,0.044475403,2019-10-01,galdogob
-0.1857997,0.06661708,2019-11-01,galdogob
-0.13003157,0.046106853,2019-12-01,galdogob
-0.13173142,0.038565326,2020-01-01,galdogob
-0.16565247,0.031520884,2020-02-01,galdogob
-0.1821299,0.031438645,2020-03-01,galdogob
-0.17226101,0.031841006,2020-04-01,galdogob
-0.1675929,0.034439184,2020-05-01,galdogob
-0.15455562,0.0422771,2020-06-01,galdogob
-0.18285713,0.032216854,2020-07-01,galdogob
-0.18972267,0.029555522,2020-08-01,galdogob
-0.19431397,0.03659211,2020-09-01,galdogob
-0.2042593,0.048169095,2020-10-01,galdogob
-0.16190022,0.038485907,2020-11-01,galdogob
-0.16849187,0.033311848,2020-12-01,galdogob
-0.2035588,0.029426318,2021-01-01,galdogob
-0.18256369,0.03255069,2021-02-01,galdogob
-0.195705,0.034376804,2021-03-01,galdogob
-0.19040622,0.036604553,2021-04-01,galdogob
-0.17698702,0.05721626,2021-05-01,galdogob
-0.15056176,0.044145532,2021-06-01,galdogob
-0.1786884,0.027876087,2021-07-01,galdogob
-0.1942202,0.041214265,2021-08-01,galdogob
-0.20900634,0.036592416,2021-09-01,galdogob
-0.21261291,0.040769387,2021-10-01,galdogob
-0.20724644,0.038782865,2021-11-01,galdogob
-0.19738266,0.040718082,2021-12-01,galdogob
-0.21411143,0.03849159,2022-01-01,galdogob
-0.19849174,0.031674407,2017-02-01,dhuusamarreeb
-0.20426,0.03967695,2017-03-01,dhuusamarreeb
-0.20600322,0.03374278,2017-04-01,dhuusamarreeb
