country,level 1 name,area,area id,analysis name,date of analysis,country population,#,% of total county pop,area phase,analysis period,phase 1#,phase 1%,phase 2#,phase 2%,phase 3#,phase 3%,phase 4#,phase 4%,phase 5#,phase 5%,phase 3+#,phase 3+%,# of population analyzed,% of population analyzed,projected area phase,projection period,projected phase 1#,projected phase 1%,projected phase 2#,projected phase 2%,projected phase 3#,projected phase 3%,projected phase 4#,projected phase 4%,projected phase 5#,projected phase 5%,projected phase 3+#,projected phase 3+%
South Sudan,Lakes,Wulu,14113334.0,Acute Food Insecurity January 2020,Jan 2020,,82446.0,,2.0,Jan 2020 - Jan 2020,28856.0,0.35,45345.0,0.55,8245.0,0.1,0.0,0.0,0.0,0.0,8245.0,0.1,82446.0,,2.0,Feb 2020 - Apr 2020,28856.0,0.35,41223.0,0.5,12367.0,0.15,0.0,0.0,0.0,0.0,12367.0,0.15
South Sudan,Lakes,Yirol east,14113352.0,Acute Food Insecurity January 2020,Jan 2020,,150222.0,,3.0,Jan 2020 - Jan 2020,15022.0,0.1,45067.0,0.3,75111.0,0.5,15022.0,0.1,0.0,0.0,90133.0,0.6,150222.0,,4.0,Feb 2020 - Apr 2020,15022.0,0.1,37556.0,0.25,67600.0,0.45,30044.0,0.2,0.0,0.0,97644.0,0.65
South Sudan,Lakes,Yirol west,14113354.0,Acute Food Insecurity January 2020,Jan 2020,,157655.0,,3.0,Jan 2020 - Jan 2020,31531.0,0.2,63062.0,0.4,55179.0,0.35,7883.0,0.05,0.0,0.0,63062.0,0.4,157655.0,,3.0,Feb 2020 - Apr 2020,23648.0,0.15,63062.0,0.4,55179.0,0.35,15766.0,0.1,0.0,0.0,70945.0,0.45
Northern Bahr el Ghazal,,,,,Jan 2020,,946905.0,,,Jan 2020 - Jan 2020,145000.0,0.153130461873155,285000.0,0.300980562992064,420000.0,0.443550303356725,100000.0,0.105607215084935,0.0,0.0,520000.0,0.54915751844166,946905.0,,,Feb 2020 - Apr 2020,120000.0,0.126728658101922,255000.0,0.269298398466583,430000.0,0.454111024865219,140000.0,0.147850101118908,0.0,0.0,570000.0,0.60196112598413
South Sudan,Northern Bahr el Ghazal,Aweil centre,14113322.0,Acute Food Insecurity January 2020,Jan 2020,,79060.0,,3.0,Jan 2020 - Jan 2020,7906.0,0.1,35577.0,0.45,27671.0,0.35,7906.0,0.1,0.0,0.0,35577.0,0.45,79060.0,,3.0,Feb 2020 - Apr 2020,7906.0,0.1,27671.0,0.35,35577.0,0.45,7906.0,0.1,0.0,0.0,43483.0,0.55
South Sudan,Northern Bahr el Ghazal,Aweil east,14113366.0,Acute Food Insecurity January 2020,Jan 2020,,335201.0,,3.0,Jan 2020 - Jan 2020,67040.0,0.2,67040.0,0.2,167601.0,0.5,33520.0,0.1,0.0,0.0,201121.0,0.6,335201.0,,3.0,Feb 2020 - Apr 2020,50280.0,0.15,67040.0,0.2,167601.0,0.5,50280.0,0.15,0.0,0.0,217881.0,0.65
South Sudan,Northern Bahr el Ghazal,Aweil north,14113418.0,Acute Food Insecurity January 2020,Jan 2020,,158880.0,,4.0,Jan 2020 - Jan 2020,23832.0,0.15,39720.0,0.25,63552.0,0.4,31776.0,0.2,0.0,0.0,95328.0,0.6,158880.0,,4.0,Feb 2020 - Apr 2020,23832.0,0.15,31776.0,0.2,63552.0,0.4,39720.0,0.25,0.0,0.0,103272.0,0.65
South Sudan,Northern Bahr el Ghazal,Aweil south,14113343.0,Acute Food Insecurity January 2020,Jan 2020,,138460.0,,3.0,Jan 2020 - Jan 2020,20769.0,0.15,48461.0,0.35,55384.0,0.4,13846.0,0.1,0.0,0.0,69230.0,0.5,138460.0,,3.0,Feb 2020 - Apr 2020,13846.0,0.1,48461.0,0.35,55384.0,0.4,20769.0,0.15,0.0,0.0,76153.0,0.55
South Sudan,Northern Bahr el Ghazal,Aweil west,14113320.0,Acute Food Insecurity January 2020,Jan 2020,,235304.0,,3.0,Jan 2020 - Jan 2020,23530.0,0.1,94122.0,0.4,105887.0,0.45,11765.0,0.05,0.0,0.0,117652.0,0.5,235304.0,,3.0,Feb 2020 - Apr 2020,23530.0,0.1,82356.0,0.35,105887.0,0.45,23530.0,0.1,0.0,0.0,129417.0,0.55
Unity,,,,,Jan 2020,,1059682.0,,,Jan 2020 - Jan 2020,175000.0,0.165143882787478,395000.0,0.372753335434593,430000.0,0.405782111992088,60000.0,0.05662075981285,0.0,0.0,490000.0,0.46240287180494,1059682.0,,,Feb 2020 - Apr 2020,175000.0,0.165143882787478,335000.0,0.316132575621743,470000.0,0.443529285200655,85000.0,0.080212743068204,0.0,0.0,555000.0,0.52374202826886
South Sudan,Unity,Abiemnhom,14113339.0,Acute Food Insecurity January 2020,Jan 2020,,54238.0,,3.0,Jan 2020 - Jan 2020,8136.0,0.15,18983.0,0.35,24407.0,0.45,2712.0,0.05,0.0,0.0,27119.0,0.5,54238.0,,3.0,Feb 2020 - Apr 2020,5424.0,0.1,18983.0,0.35,24407.0,0.45,5424.0,0.1,0.0,0.0,29831.0,0.55
South Sudan,Unity,Guit,14113430.0,Acute Food Insecurity January 2020,Jan 2020,,66324.0,,3.0,Jan 2020 - Jan 2020,6632.0,0.1,23213.0,0.35,26530.0,0.4,9949.0,0.15,0.0,0.0,36479.0,0.55,66324.0,,3.0,Feb 2020 - Apr 2020,6632.0,0.1,19897.0,0.3,29846.0,0.45,9949.0,0.15,0.0,0.0,39795.0,0.6
South Sudan,Unity,Koch,14113470.0,Acute Food Insecurity January 2020,Jan 2020,,105543.0,,3.0,Jan 2020 - Jan 2020,10554.0,0.1,31663.0,0.3,47494.0,0.45,15831.0,0.15,0.0,0.0,63325.0,0.6,105543.0,,3.0,Feb 2020 - Apr 2020,10554.0,0.1,26386.0,0.25,52772.0,0.5,15831.0,0.15,0.0,0.0,68603.0,0.65
South Sudan,Unity,Leer,14113466.0,Acute Food Insecurity January 2020,Jan 2020,,59120.0,,3.0,Jan 2020 - Jan 2020,2956.0,0.05,26604.0,0.45,26604.0,0.45,2956.0,0.05,0.0,0.0,29560.0,0.5,59120.0,,3.0,Feb 2020 - Apr 2020,2956.0,0.05,23648.0,0.4,29560.0,0.5,2956.0,0.05,0.0,0.0,32516.0,0.55
South Sudan,Unity,Mayendit,14113390.0,Acute Food Insecurity January 2020,Jan 2020,,66015.0,,3.0,Jan 2020 - Jan 2020,6602.0,0.1,26406.0,0.4,29707.0,0.45,3301.0,0.05,0.0,0.0,33008.0,0.5,66015.0,,3.0,Feb 2020 - Apr 2020,6602.0,0.1,23105.0,0.35,33008.0,0.5,3301.0,0.05,0.0,0.0,36309.0,0.55
