area,date,area_phase
kurtunwaarey,2021-06-01,2.6626151908852824
qoryooley,2021-06-01,2.538953140846131
sablaale,2021-06-01,2.810044655512171
wanla weyn,2021-06-01,2.5822363997218423
baydhaba,2021-06-01,2.5588217448933923
buur hakaba,2021-06-01,2.6534395872741183
diinsoor,2021-06-01,2.3939672266315943
qansax dheere,2021-06-01,2.0256960990912565
xudur,2021-06-01,2.1717649888948216
ceel barde,2021-06-01,2.000002060178381
tayeeglow,2021-06-01,2.4927370600179506
waajid,2021-06-01,2.5089490819356275
rab dhuure,2021-06-01,2.000002516646438
garbahaarey,2021-06-01,2.651310234374652
baardheere,2021-06-01,2.7892189929246345
belet xaawo,2021-06-01,2.930331688529352
ceel waaq,2021-06-01,2.94769342984687
doolow,2021-06-01,2.4738851490249205
luuq,2021-06-01,2.5060660617700368
bu'aale,2021-06-01,2.1144913505116483
jilib,2021-06-01,2.0002703762340217
saakow,2021-06-01,2.096847280471467
kismaayo,2021-06-01,2.3026588664288785
afmadow,2021-06-01,2.042916511427113
badhaadhe,2021-06-01,2.199891886550594
jamaame,2021-06-01,2.9951242726502163
banadir,2012-01-01,2.008042459761305
borama,2012-01-01,2.000002350333673
baki,2012-01-01,2.0
lughaye,2012-01-01,2.0
zeylac,2012-01-01,2.000001179983732
hargeysa,2012-01-01,2.000000864082358
berbera,2012-01-01,2.0
gebiley,2012-01-01,2.000001670403908
burco,2012-01-01,2.1379460780811765
buuhoodle,2012-01-01,2.307249997915912
owdweyne,2012-01-01,2.000000291671702
sheikh,2012-01-01,2.068205161722849
laas caanood,2012-01-01,2.697381792351833
caynabo,2012-01-01,2.9125305056209863
taleex,2012-01-01,3.0
xudun,2012-01-01,3.0
ceerigaabo,2012-01-01,2.553102220498854
ceel afweyn,2012-01-01,2.339107081427607
laasqoray,2012-01-01,2.2859577264771023
bossaso,2012-01-01,2.0
bandarbeyla,2012-01-01,3.091176419823816
caluula,2012-01-01,2.1104638478856104
iskushuban,2012-01-01,2.1994482880092767
qandala,2012-01-01,2.0
qardho,2012-01-01,2.842168977419852
garoowe,2012-01-01,2.809784360977722
burtinle,2012-01-01,2.000000000000001
eyl,2012-01-01,2.9116800766674613
gaalkacyo,2012-01-01,2.000178486664029
galdogob,2012-01-01,2.0
hobyo,2012-01-01,3.1119994336272505
jariiban,2012-01-01,2.3543310608206705
xarardheere,2012-01-01,3.3407060700818416
dhuusamarreeb,2012-01-01,2.626327266898316
cabudwaaq,2012-01-01,2.0
cadaado,2012-01-01,2.348218154410231
ceel buur,2012-01-01,2.9489884375177464
ceel dheer,2012-01-01,3.247647635119495
belet weyne,2012-01-01,2.677924495497471
bulo burto,2012-01-01,3.152662722824979
jalalaqsi,2012-01-01,3.294653443326476
jowhar,2012-01-01,2.402140653580477
adan yabaal,2012-01-01,3.930488616896565
balcad,2012-01-01,3.1577703904719607
cadale,2012-01-01,3.970376699330963
marka,2012-01-01,2.0
afgooye,2012-01-01,2.0012640579275787
baraawe,2012-01-01,2.355297325363544
kurtunwaarey,2012-01-01,2.0019927907758133
qoryooley,2012-01-01,2.00354518178637
sablaale,2012-01-01,2.2688609508964275
