Regions,Districts,Rainfall,Vegetation cover (NDVI),Price of water,Sorghum prices,Maize prices,Red Rice prices,Local goat prices,Wage labor,TOT (goat to cereals),TOT (wage to cereals),Cost of Minimum Basket (CMB),New Admissions (GAM),Measles Cases,AWD/cholera cases,AWD/Cholera deaths,Malaria Cases,Insecurity - Incidents,Insecurity - Fatalities,Displacement (arrivals),Displacement (departures),Total alarms,date
Middle Shabelle,Balcad,18.52,0.3,,24000,21300,25000,850000,37500,40,2,,,,,,,,,,,1,01-Jun-2011
Middle Shabelle,Cadale,13.42,0.32,30000,26000,26000,24000,400000,40000,15,2,,,,,,,,,,,1,01-Jun-2011
Banadir,Mogadishu,19.74,,18000,21333,21333,24000,1200000,50000,56,2,3866231,,,,,,,,,,2,01-Jun-2011
Lower Shabelle,Marka,25.62,0.31,29000,21666,22833,23000,1300000,62500,57,3,3816323,,,,,,,,,,2,01-Jun-2011
Lower Shabelle,Afgooye,21.98,0.26,,21000,20667,22000,1250000,37500,60,2,3679373,,,,,,,,,,0,01-Jun-2011
Lower Shabelle,Baraawe,39.39,0.41,15000,,22500,26000,837500,11250,37,1,,,,,,,,,,,0,01-Jun-2011
Lower Shabelle,Kurtunwaarey,31.54,0.47,10000,,18625,24000,832500,46500,45,3,,,,,,,,,,,1,01-Jun-2011
Lower Shabelle,Qoryooley,26.28,0.43,17000,24844,19250,23000,850000,61250,44,3,0,,,,,,,,,,2,01-Jun-2011
Lower Shabelle,Sablaale,38.73,0.6,,,,,,,,,,,,,,,,,,,0,01-Jun-2011
Lower Shabelle,Wanla Weyn,14.06,0.32,9000,18666,18666,23000,582500,68250,31,4,,,,,,,,,,,2,01-Jun-2011
Bay,Baydhaba,8.98,0.42,32500,18125,18075,23500,450000,60000,25,3,3497625,,,,,,,,,,2,01-Jun-2011
Bay,Buur Hakaba,18.86,0.42,50000,14750,15750,24000,550000,67500,37,5,,,,,,,,,,,2,01-Jun-2011
Bay,Diinsoor,16.38,0.37,57500,20000,18250,26000,477500,40000,24,2,3883250,,,,,,,,,,3,01-Jun-2011
Bay,Qansax Dheere,5.41,0.29,20000,18250,18000,26000,592500,35000,32,2,,,,,,,,,,,3,01-Jun-2011
Bakool,Xudur,2.16,0.33,20000,20750,20000,26000,407500,45000,20,2,3869750,,,,,,,,,,3,01-Jun-2011
Bakool,Ceel Barde,3.6,0.32,40000,18000,18500,30000,452500,77500,25,4,2980750,,,,,,,,,,2,01-Jun-2011
Bakool,Tayeeglow,4.59,0.41,,20250,20250,26000,382500,45250,19,3,,,,,,,,,,,1,01-Jun-2011
Bakool,Waajid,5.65,0.29,,,,,,,,,,,,,,,,,,,0,01-Jun-2011
Bakool,Rab Dhuure,1.8,0.2,,,,,,,,,,,,,,,,,,,0,01-Jun-2011
Gedo,Garbahaarey,3.4,0.25,,,,,,,,,,,,,,,,,,,0,01-Jun-2011
Gedo,Baardheere,7.79,0.28,15000,20000,18000,26000,562500,75000,28,4,3866078,,,,,,,,,,3,01-Jun-2011
Gedo,Belet Xaawo,3.95,0.26,36000,20000,21000,32000,700000,203000,35,10,3890300,,,,,,,,,,3,01-Jun-2011
Gedo,Ceel Waaq,5.41,0.27,15000,16000,18000,27000,600000,80000,38,5,3032500,,,,,,,,,,2,01-Jun-2011
Gedo,Doolow,1.94,0.19,32000,20000,20000,38000,505000,102500,25,5,,,,,,,,,,,2,01-Jun-2011
Gedo,Luuq,2.87,0.2,20000,24000,14000,36000,500000,90000,21,4,4301500,,,,,,,,,,3,01-Jun-2011
Middle Juba,Bu'aale,37.84,0.6,30000,,25500,26000,487500,61250,19,2,4392250,,,,,,,,,,2,01-Jun-2011
Middle Juba,Jilib,50.95,0.55,20000,,21375,24750,487500,73750,23,3,4271938,,,,,,,,,,3,01-Jun-2011
Middle Juba,Saakow,17.61,0.34,,,,,,,,,,,,,,,,,,,0,01-Jun-2011
Lower Juba,Kismaayo,40.83,0.47,40000,,18750,23000,747500,90000,40,5,4375750,,,,,,,,,,2,01-Jun-2011
Lower Juba,Afmadow,26.84,0.41,20000,,20000,28000,487500,60000,24,3,3929729,,,,,,,,,,2,01-Jun-2011
Lower Juba,Badhaadhe,32.93,0.54,,,,,,,,,,,,,,,,,,,0,01-Jun-2011
Lower Juba,Jamaame,56.92,0.46,8000,,18750,24750,457500,77500,24,4,3950063,,,,,,,,,,3,01-Jun-2011
Awdal,Borama,41.62,0.17,4000,3275,3000,5000,188750,36000,38,7,909125,,,,,,,,,,1,01-Jul-2011
Awdal,Baki,17.84,0.12,,,,,,,,,,,,,,,,,,,0,01-Jul-2011
Awdal,Lughaye,3.38,0.09,8000,4000,,5000,151250,,38,,,,,,,,,,,,0,01-Jul-2011
Awdal,Zeylac,10.58,0.09,3500,4725,,5600,216750,35000,39,6,762025,,,,,,,,,,0,01-Jul-2011
Woqooyi Galbeed,Hargeysa,31.44,0,7000,3450,3500,4250,282500,25000,66,6,979219,,,,,,,,,,1,01-Jul-2011
Woqooyi Galbeed,Berbera,4.83,0.09,,,,,,,,,,,,,,,,,,,0,01-Jul-2011
Woqooyi Galbeed,Gebiley,50.54,0.18,7000,3150,,4525,153750,35000,34,8,,,,,,,,,,,0,01-Jul-2011
Togdheer,Burco,5.37,0.17,6000,3000,3000,5000,232500,30000,47,6,1666688,,,,,,,,,,1,01-Jul-2011
Togdheer,Buuhoodle,2.5,0.16,,,,,,,,,,,,,,,,,,,0,01-Jul-2011
Togdheer,Owdweyne,14.79,0.16,,,,,,,,,,,,,,,,,,,0,01-Jul-2011
Togdheer,Sheikh,21.23,0.16,,,,,,,,,,,,,,,,,,,0,01-Jul-2011
Sool,Laas Caanood,0.16,0.14,67500,20000,,24000,1050000,128000,44,5,4386875,,,,,,,,,,1,01-Jul-2011
Sool,Caynabo,2.58,0.15,,,,,,,,,,,,,,,,,,,0,01-Jul-2011
Sool,Taleex,0.63,0.14,,,,,,,,,,,,,,,,,,,0,01-Jul-2011
Sool,Xudun,0.95,0.13,60000,,,24000,1150000,120000,,,,,,,,,,,,,0,01-Jul-2011
Sanaag,Ceerigaabo,2.81,0.14,40000,,,29000,900000,100000,31,3,5503888,,,,,,,,,,0,01-Jul-2011
Sanaag,Ceel Afweyn,2.65,0.13,50000,15000,,25000,1000000,100000,67,7,,,,,,,,,,,0,01-Jul-2011
Sanaag,Laasqoray,1.45,0.15,,,,,,,,,,,,,,,,,,,0,01-Jul-2011
Bari,Bossaso,0.9,0.14,12000,30000,,25000,1500000,82500,60,3,4850938,,,,,,,,,,2,01-Jul-2011
Bari,Bandarbeyla,0.13,0.13,,,,,,,,,,,,,,,,,,,0,01-Jul-2011
Bari,Caluula,0.36,0.16,,,,,,,,,,,,,,,,,,,0,01-Jul-2011
Bari,Iskushuban,0.28,0.13,,,,,,,,,,,,,,,,,,,0,01-Jul-2011
Bari,Qandala,1.03,0.16,,,,,,,,,,,,,,,,,,,0,01-Jul-2011
Bari,Qardho,0.48,0.14,,,,,,,,,,,,,,,,,,,0,01-Jul-2011
Nugaal,Garoowe,0.07,0.15,3000,,26000,24500,1455000,125000,59,5,4474088,,,,,,,,,,1,01-Jul-2011
Nugaal,Burtinle,0.1,0.16,30000,,,24750,1070000,120000,,,,,,,,,,,,,0,01-Jul-2011
Nugaal,Eyl,0.05,0.14,30000,29000,,30000,1152500,93000,40,4,,,,,,,,,,,1,01-Jul-2011
Mudug,Gaalkacyo,0.49,0.16,20000,20000,26000,30000,1200000,110000,40,4,4862750,,,,,,,,,,1,01-Jul-2011
Mudug,Galdogob,0.34,0.15,,,,,,,,,,,,,,,,,,,0,01-Jul-2011
Mudug,Hobyo,2.7,0.15,50000,,,30000,806000,50000,,,,,,,,,,,,,0,01-Jul-2011
Mudug,Jariiban,0.53,0.15,23750,,,23000,1290000,100000,,,,,,,,,,,,,0,01-Jul-2011
Mudug,Xarardheere,21.74,0.17,20000,19000,19750,37800,718000,82000,19,2,3153000,,,,,,,,,,1,01-Jul-2011
Galgaduud,Dhuusamarreeb,3.7,0.16,20000,25000,24000,31000,937500,85000,30,3,5375625,,,,,,,,,,1,01-Jul-2011
Galgaduud,Cabudwaaq,2.58,0.17,20000,,24000,31500,925000,100000,29,3,4521000,,,,,,,,,,2,01-Jul-2011
Galgaduud,Cadaado,1.4,0.17,,,,,,,,,,,,,,,,,,,0,01-Jul-2011
Galgaduud,Ceel Buur,5.53,0.17,,,,,,,,,,,,,,,,,,,0,01-Jul-2011
Galgaduud,Ceel Dheer,30.55,0.17,20000,22000,20000,28000,666000,60000,24,2,4871150,,,,,,,,,,0,01-Jul-2011
Hiraan,Belet Weyne,7.55,0.19,20000,20750,18000,26000,662500,117500,32,6,3289000,,,,,,,,,,3,01-Jul-2011
Hiraan,Bulo Burto,22.4,0.18,,,,,,,,,,,,,,,,,,,0,01-Jul-2011
Hiraan,Jalalaqsi,19.52,0.17,15000,,17000,28000,712500,70000,,,,,,,,,,,,,0,01-Jul-2011
Middle Shabelle,Jowhar,29.94,0.21,17000,23775,17125,26000,978500,80000,57,5,4147125,,,,,,,,,,2,01-Jul-2011
Middle Shabelle,Adan Yabaal,45.2,0.17,12000,20000,,28000,400000,30000,,,,,,,,,,,,,0,01-Jul-2011
Middle Shabelle,Balcad,51.66,0.22,,21300,17300,26000,1000000,32500,58,2,,,,,,,,,,,1,01-Jul-2011
Middle Shabelle,Cadale,56.2,0.2,30000,26000,26000,24000,462500,40000,18,2,,,,,,,,,,,2,01-Jul-2011
Banadir,Mogadishu,85.12,,16000,21333,18666,26000,1000000,60000,54,3,4001298,,,,,,,,,,2,01-Jul-2011
Lower Shabelle,Marka,61.54,0.28,27750,23000,19250,23750,1120000,73750,58,4,3899002,,,,,,,,,,3,01-Jul-2011
Lower Shabelle,Afgooye,48.38,0.2,,21333,18917,24000,900000,82500,48,4,3743008,,,,,,,,,,1,01-Jul-2011
Lower Shabelle,Baraawe,62.55,0.3,20000,,20500,28000,625000,21250,30,2,,,,,,,,,,,2,01-Jul-2011
Lower Shabelle,Kurtunwaarey,61.85,0.33,10000,,26833,25000,1037500,41333,39,2,,,,,,,,,,,3,01-Jul-2011
Lower Shabelle,Qoryooley,58.32,0.32,16000,23000,18750,23500,725000,51750,39,3,1961728,,,,,,,,,,3,01-Jul-2011
Lower Shabelle,Sablaale,59.76,0.38,,,,,,,,,,,,,,,,,,,1,01-Jul-2011
Lower Shabelle,Wanla Weyn,26.96,0.18,10000,16333,16000,23000,605000,77500,38,5,,,,,,,,,,,1,01-Jul-2011
Bay,Baydhaba,24.3,0.2,18750,16850,16650,24000,637500,65000,38,4,3257438,,,,,,,,,,3,01-Jul-2011
Bay,Buur Hakaba,39.45,0.24,50000,14000,14250,24000,625000,70000,45,5,,,,,,,,,,,2,01-Jul-2011
Bay,Diinsoor,28.88,0.23,57500,17750,18550,25000,520000,35000,29,2,3722500,,,,,,,,,,4,01-Jul-2011
Bay,Qansax Dheere,14.95,0.16,20000,16500,17750,26000,630000,30000,38,2,,,,,,,,,,,3,01-Jul-2011
Bakool,Xudur,12.68,0.21,15000,17250,17625,25250,417500,43750,24,3,3535938,,,,,,,,,,2,01-Jul-2011
Bakool,Ceel Barde,8.8,0.19,40000,15500,15500,30250,467500,62500,30,4,2751813,,,,,,,,,,2,01-Jul-2011
Bakool,Tayeeglow,40.83,0.2,,15750,15750,25000,377500,38750,24,3,,,,,,,,,,,1,01-Jul-2011
Bakool,Waajid,9.87,0.17,,,,,,,,,,,,,,,,,,,0,01-Jul-2011
Bakool,Rab Dhuure,1.49,0.14,,,,,,,,,,,,,,,,,,,0,01-Jul-2011
Gedo,Garbahaarey,6.05,0.16,,,,,,,,,,,,,,,,,,,0,01-Jul-2011
Gedo,Baardheere,14.08,0.2,15000,18750,16500,26000,390000,65000,21,3,3752328,,,,,,,,,,2,01-Jul-2011
Gedo,Belet Xaawo,4.85,0.17,36000,21500,22000,31000,577000,191000,27,9,4095438,,,,,,,,,,2,01-Jul-2011
Gedo,Ceel Waaq,9.47,0.19,15000,17500,,28125,515000,77500,29,4,3177250,,,,,,,,,,1,01-Jul-2011
Gedo,Doolow,0.23,0.14,32000,20000,20000,32750,482500,98750,24,5,,,,,,,,,,,3,01-Jul-2011
Gedo,Luuq,2.14,0.13,22000,22000,24000,36000,500000,100000,23,5,4187000,,,,,,,,,,3,01-Jul-2011
Middle Juba,Bu'aale,39.78,0.36,30000,,23750,25750,537500,55000,23,2,3835561,,,,,,,,,,3,01-Jul-2011
Middle Juba,Jilib,37.66,0.38,20000,,20250,25000,550000,58750,27,3,4191200,,,,,,,,,,3,01-Jul-2011
Middle Juba,Saakow,25.65,0.22,,,,,,,,,,,,,,,,,,,0,01-Jul-2011
Lower Juba,Kismaayo,42.08,0.32,40000,,19000,24000,732500,80000,39,4,4324950,,,,,,,,,,3,01-Jul-2011
Lower Juba,Afmadow,32.27,0.27,25000,,20000,27000,455000,50000,23,3,3900533,,,,,,,,,,3,01-Jul-2011
Lower Juba,Badhaadhe,37.9,0.41,,,,,,,,,,,,,,,,,,,1,01-Jul-2011
Lower Juba,Jamaame,48.06,0.35,8000,,18250,25000,398750,55000,22,3,3970700,,,,,,,,,,4,01-Jul-2011
Awdal,Borama,123,0.19,4000,3525,4000,4975,186250,35750,37,7,970975,,,,,,,,,,1,01-Aug-2011
Awdal,Baki,44.47,0.12,,,,,,,,,,,,,,,,,,,0,01-Aug-2011
Awdal,Lughaye,8.47,0.09,10000,4500,,5000,136000,,30,,,,,,,,,,,,0,01-Aug-2011
Awdal,Zeylac,32.77,0.09,3500,5250,4200,5513,258125,35000,47,6,836780,,,,,,,,,,0,01-Aug-2011
Woqooyi Galbeed,Hargeysa,38.58,0,8000,3500,3825,4525,306000,25000,68,6,982056,,,,,,,,,,2,01-Aug-2011
Woqooyi Galbeed,Berbera,7.4,0.1,,,,,,,,,,,,,,,,,,,0,01-Aug-2011
Woqooyi Galbeed,Gebiley,80.73,0.2,7000,2800,,5000,163750,36500,33,7,,,,,,,,,,,0,01-Aug-2011
Togdheer,Burco,5.25,0.15,6000,3500,3500,5500,197500,26250,36,5,1730375,,,,,,,,,,1,01-Aug-2011
Togdheer,Buuhoodle,0.56,0.16,,,,,,,,,,,,,,,,,,,0,01-Aug-2011
Togdheer,Owdweyne,19.16,0.15,,,,,,,,,,,,,,,,,,,0,01-Aug-2011
Togdheer,Sheikh,37.9,0.15,,,,,,,,,,,,,,,,,,,0,01-Aug-2011
Sool,Laas Caanood,0.55,0.13,70000,,20000,24000,1212500,124000,51,5,4615875,,,,,,,,,,1,01-Aug-2011
Sool,Caynabo,1.6,0.13,,,,,,,,,,,,,,,,,,,0,01-Aug-2011
Sool,Taleex,2.02,0.14,,,,,,,,,,,,,,,,,,,0,01-Aug-2011
Sool,Xudun,0.77,0.12,60000,,,23000,1050000,120000,,,,,,,,,,,,,0,01-Aug-2011
Sanaag,Ceerigaabo,14.97,0.13,40000,,,30000,900000,120000,30,4,5335338,,,,,,,,,,0,01-Aug-2011
Sanaag,Ceel Afweyn,5.08,0.12,50000,15000,,25000,902000,100000,60,7,,,,,,,,,,,0,01-Aug-2011
Sanaag,Laasqoray,7.92,0.14,,,,,,,,,,,,,,,,,,,0,01-Aug-2011
Bari,Bossaso,6.12,0.14,12000,30000,,25400,1480000,80000,58,3,4863200,,,,,,,,,,2,01-Aug-2011
Bari,Bandarbeyla,2.19,0.13,,,,,,,,,,,,,,,,,,,0,01-Aug-2011
Bari,Caluula,3.66,0.16,,,,,,,,,,,,,,,,,,,0,01-Aug-2011
Bari,Iskushuban,3.73,0.13,,,,,,,,,,,,,,,,,,,0,01-Aug-2011
Bari,Qandala,8.89,0.15,,,,,,,,,,,,,,,,,,,0,01-Aug-2011
Bari,Qardho,2.7,0.13,,,,,,,,,,,,,,,,,,,0,01-Aug-2011
Nugaal,Garoowe,1.11,0.14,3800,,26800,25400,1236000,138000,49,5,4576238,,,,,,,,,,2,01-Aug-2011
Nugaal,Burtinle,0.95,0.16,84000,28600,,25000,1168000,120000,41,5,,,,,,,,,,,2,01-Aug-2011
Nugaal,Eyl,0.47,0.14,32000,30000,,33400,858000,120000,29,4,,,,,,,,,,,1,01-Aug-2011
Mudug,Gaalkacyo,0.53,0.16,20000,20000,20000,30000,924000,110000,31,4,4826750,,,,,,,,,,2,01-Aug-2011
Mudug,Galdogob,0.33,0.16,,,,,,,,,,,,,,,,,,,0,01-Aug-2011
Mudug,Hobyo,1.43,0.14,50000,,,30000,900000,40000,,,,,,,,,,,,,0,01-Aug-2011
Mudug,Jariiban,0.11,0.15,45000,,,30800,1200000,110000,,,,,,,,,,,,,0,01-Aug-2011
Mudug,Xarardheere,10.61,0.17,20000,,19000,38000,885000,75000,23,2,3221000,,,,,,,,,,0,01-Aug-2011
Galgaduud,Dhuusamarreeb,1.74,0.17,23000,26000,22800,32000,872000,88000,27,3,5539300,,,,,,,,,,1,01-Aug-2011
Galgaduud,Cabudwaaq,3.05,0.18,20000,,26800,32000,900000,100000,28,3,4710000,,,,,,,,,,2,01-Aug-2011
Galgaduud,Cadaado,1.66,0.17,,,,,,,,,,,,,,,,,,,0,01-Aug-2011
Galgaduud,Ceel Buur,2.01,0.18,,,,,,,,,,,,,,,,,,,0,01-Aug-2011
Galgaduud,Ceel Dheer,11.74,0.18,20000,21250,20000,30000,755000,52500,25,2,4811035,,,,,,,,,,0,01-Aug-2011
Hiraan,Belet Weyne,5.95,0.19,15000,17000,16300,26000,850000,123000,50,7,3163650,,,,,,,,,,3,01-Aug-2011
Hiraan,Bulo Burto,8.47,0.19,,,,,,,,,,,,,,,,,,,0,01-Aug-2011
Hiraan,Jalalaqsi,8.57,0.2,15000,,16000,27000,837500,70000,,,,,,,,,,,,,0,01-Aug-2011
Middle Shabelle,Jowhar,6.79,0.25,17000,19975,15125,24000,1237500,80000,82,5,3643025,,,,,,,,,,3,01-Aug-2011
Middle Shabelle,Adan Yabaal,14.53,0.18,20000,28500,,34250,637500,50000,,,,,,,,,,,,,1,01-Aug-2011
Middle Shabelle,Balcad,22.18,0.38,,18600,13300,26000,900000,38750,68,3,,,,,,,,,,,1,01-Aug-2011
Middle Shabelle,Cadale,23.03,0.24,30000,26000,18000,26000,800000,60000,44,4,,,,,,,,,,,1,01-Aug-2011
Banadir,Mogadishu,41.54,,18000,20000,18266,27200,950000,60000,52,3,3983626,,,,,,,,,,3,01-Aug-2011
Lower Shabelle,Marka,47.94,0.52,26250,18833,20000,24500,1165000,78750,58,4,3521885,,,,,,,,,,3,01-Aug-2011
Lower Shabelle,Afgooye,20.4,0.38,,20000,18000,24000,1275000,55000,71,3,3555750,,,,,,,,,,0,01-Aug-2011
Lower Shabelle,Baraawe,30.34,0.45,17500,,21000,26000,875000,57500,42,3,,,,,,,,,,,1,01-Aug-2011
Lower Shabelle,Kurtunwaarey,35.55,0.47,10000,,21250,25000,1175000,39750,55,2,,,,,,,,,,,2,01-Aug-2011
Lower Shabelle,Qoryooley,45.52,0.46,16000,22325,16750,23750,975000,63750,58,4,0,,,,,,,,,,3,01-Aug-2011
Lower Shabelle,Sablaale,23.4,0.46,,,,,,,,,,,,,,,,,,,0,01-Aug-2011
Lower Shabelle,Wanla Weyn,7.99,0.2,10000,14000,17500,24000,700000,68250,40,4,,,,,,,,,,,2,01-Aug-2011
Bay,Baydhaba,13.78,0.25,25000,14360,16500,30200,634000,60000,44,4,3171725,,,,,,,,,,3,01-Aug-2011
Bay,Buur Hakaba,17.23,0.28,50000,11500,13750,25750,675000,70000,59,7,,,,,,,,,,,2,01-Aug-2011
Bay,Diinsoor,12.65,0.26,60000,17000,18000,27400,564000,37000,33,2,3727800,,,,,,,,,,3,01-Aug-2011
Bay,Qansax Dheere,8.09,0.22,20000,14600,16600,26000,646000,30000,44,2,,,,,,,,,,,3,01-Aug-2011
Bakool,Xudur,7.98,0.2,15000,13300,14500,24600,576000,46000,43,3,3168100,,,,,,,,,,1,01-Aug-2011
Bakool,Ceel Barde,10.64,0.18,40000,12400,13800,30400,578000,63000,47,5,2471900,,,,,,,,,,1,01-Aug-2011
Bakool,Tayeeglow,17.43,0.22,,14400,14400,25000,570000,39200,40,3,,,,,,,,,,,1,01-Aug-2011
Bakool,Waajid,7.23,0.2,,,,,,,,,,,,,,,,,,,0,01-Aug-2011
Bakool,Rab Dhuure,2.38,0.14,,,,,,,,,,,,,,,,,,,0,01-Aug-2011
Gedo,Garbahaarey,5.18,0.2,,,,,,,,,,,,,,,,,,,0,01-Aug-2011
Gedo,Baardheere,7.52,0.22,15000,18250,17000,26000,415000,75000,23,4,3594750,,,,,,,,,,3,01-Aug-2011
Gedo,Belet Xaawo,4.51,0.21,32000,19000,20000,28000,630000,191000,33,10,3813746,,,,,,,,,,2,01-Aug-2011
Gedo,Ceel Waaq,7.5,0.22,14000,17000,16000,28000,530000,77500,31,5,3191750,,,,,,,,,,1,01-Aug-2011
Gedo,Doolow,0.2,0.16,31000,18000,17500,32000,500000,96250,28,5,,,,,,,,,,,3,01-Aug-2011
Gedo,Luuq,1.95,0.16,22000,20000,16500,34500,570000,100000,29,5,3996000,,,,,,,,,,2,01-Aug-2011
Middle Juba,Bu'aale,21.63,0.38,30000,,22425,26625,377500,45000,17,2,3697756,,,,,,,,,,3,01-Aug-2011
Middle Juba,Jilib,40.95,0.42,27500,,22250,26125,412500,41250,19,2,3707663,,,,,,,,,,3,01-Aug-2011
Middle Juba,Saakow,10.3,0.25,,,,,,,,,,,,,,,,,,,0,01-Aug-2011
Lower Juba,Kismaayo,34.07,0.34,40000,,19000,24000,875000,81250,46,4,4095725,,,,,,,,,,4,01-Aug-2011
Lower Juba,Afmadow,20.6,0.28,30000,,18750,21000,640000,60000,34,3,3647638,,,,,,,,,,2,01-Aug-2011
Lower Juba,Badhaadhe,36.73,0.43,,,,,,,,,,,,,,,,,,,0,01-Aug-2011
Lower Juba,Jamaame,38.36,0.37,8000,,16000,25000,497500,49500,31,3,3613875,,,,,,,,,,3,01-Aug-2011
Awdal,Borama,68.58,0.24,3750,3150,3225,4950,173250,28250,35,6,964231,,,,,,,,,,0,01-Sept-2011
Awdal,Baki,29.61,0.14,,,,,,,,,,,,,,,,,,,0,01-Sept-2011
Awdal,Lughaye,8.81,0.1,10000,5000,,5000,152250,,30,,,,,,,,,,,,0,01-Sept-2011
Awdal,Zeylac,14.59,0.11,3500,4900,5600,5600,244500,35000,44,6,828440,,,,,,,,,,0,01-Sept-2011
Woqooyi Galbeed,Hargeysa,52.95,0,7500,3500,3500,4875,292500,25000,60,5,1009385,,,,,,,,,,1,01-Sept-2011
Woqooyi Galbeed,Berbera,12.62,0.1,,,,,,,,,,,,,,,,,,,0,01-Sept-2011
Woqooyi Galbeed,Gebiley,63.95,0.25,7000,3175,,4700,218750,42000,47,9,,,,,,,,,,,0,01-Sept-2011
Togdheer,Burco,31.41,0.16,6000,3500,3500,6000,195000,25000,33,4,1884830,,,,,,,,,,2,01-Sept-2011
Togdheer,Buuhoodle,20.76,0.16,,,,,,,,,,,,,,,,,,,0,01-Sept-2011
Togdheer,Owdweyne,48.78,0.16,,,,,,,,,,,,,,,,,,,0,01-Sept-2011
Togdheer,Sheikh,35.39,0.17,,,,,,,,,,,,,,,,,,,0,01-Sept-2011
Sool,Laas Caanood,8.09,0.13,72500,,18500,24000,1237500,124000,52,5,4605000,,,,,,,,,,1,01-Sept-2011
Sool,Caynabo,21.09,0.14,,,,,,,,,,,,,,,,,,,0,01-Sept-2011
Sool,Taleex,12.52,0.13,,,,,,,,,,,,,,,,,,,0,01-Sept-2011
Sool,Xudun,11.96,0.12,80000,,,24000,1100000,120000,,,,,,,,,,,,,0,01-Sept-2011
Sanaag,Ceerigaabo,49.29,0.13,40000,,,28250,975000,120000,35,4,5645188,,,,,,,,,,0,01-Sept-2011
Sanaag,Ceel Afweyn,33.09,0.13,50000,18000,,30000,1095000,100000,61,6,,,,,,,,,,,0,01-Sept-2011
Sanaag,Laasqoray,29.96,0.15,,,,,,,,,,,,,,,,,,,0,01-Sept-2011
Bari,Bossaso,18.28,0.14,12000,30000,,24500,1537500,80000,63,3,4771375,,,,,,,,,,2,01-Sept-2011
Bari,Bandarbeyla,5.28,0.13,,,,,,,,,,,,,,,,,,,0,01-Sept-2011
Bari,Caluula,6.14,0.17,,,,,,,,,,,,,,,,,,,0,01-Sept-2011
Bari,Iskushuban,6.64,0.13,,,,,,,,,,,,,,,,,,,0,01-Sept-2011
Bari,Qandala,20.67,0.16,,,,,,,,,,,,,,,,,,,0,01-Sept-2011
Bari,Qardho,9.58,0.13,,,,,,,,,,,,,,,,,,,0,01-Sept-2011
Nugaal,Garoowe,5.85,0.13,4000,,26000,25250,1317500,140000,52,6,4822563,,,,,,,,,,1,01-Sept-2011
Nugaal,Burtinle,6.36,0.15,30000,,,25750,1235000,120000,,,,,,,,,,,,,0,01-Sept-2011
Nugaal,Eyl,3.85,0.14,30000,,,32000,1137500,120000,,,,,,,,,,,,,0,01-Sept-2011
Mudug,Gaalkacyo,2.21,0.16,20000,16000,18000,29500,1200000,110000,41,4,4442625,,,,,,,,,,2,01-Sept-2011
Mudug,Galdogob,2.31,0.16,,,,,,,,,,,,,,,,,,,0,01-Sept-2011
Mudug,Hobyo,2.14,0.14,50000,,,30000,990000,40000,,,,,,,,,,,,,0,01-Sept-2011
Mudug,Jariiban,2.26,0.14,50000,,,29750,1175000,88000,,,,,,,,,,,,,0,01-Sept-2011
Mudug,Xarardheere,1.06,0.15,20000,17000,17000,40000,872000,80000,22,2,2978000,,,,,,,,,,1,01-Sept-2011
Galgaduud,Dhuusamarreeb,2.3,0.17,25000,26000,23000,32000,860000,100000,27,3,5565000,,,,,,,,,,1,01-Sept-2011
Galgaduud,Cabudwaaq,4.93,0.17,20000,,28000,32000,1000000,100000,31,3,4621000,,,,,,,,,,2,01-Sept-2011
Galgaduud,Cadaado,2.7,0.16,,,,,,,,,,,,,,,,,,,0,01-Sept-2011
Galgaduud,Ceel Buur,1.82,0.17,,,,,,,,,,,,,,,,,,,0,01-Sept-2011
Galgaduud,Ceel Dheer,1.56,0.16,20000,18400,17600,29000,790000,55000,27,2,4524550,,,,,,,,,,0,01-Sept-2011
Hiraan,Belet Weyne,3.71,0.18,17000,12500,12000,25500,875000,131250,70,11,3182000,,,,,,,,,,2,01-Sept-2011
Hiraan,Bulo Burto,2.78,0.19,,,,,,,,,,,,,,,,,,,0,01-Sept-2011
Hiraan,Jalalaqsi,2.56,0.18,15000,,12800,26000,870000,73000,,,,,,,,,,,,,0,01-Sept-2011
Middle Shabelle,Jowhar,3.16,0.22,17000,14600,10200,26000,1187500,80000,116,8,3280600,,,,,,,,,,3,01-Sept-2011
Middle Shabelle,Adan Yabaal,1.68,0.17,20000,30000,,31000,737500,33000,,,,,,,,,,,,,0,01-Sept-2011
Middle Shabelle,Balcad,4.12,0.31,,18600,12000,29000,1125000,37500,94,4,,,,,,,,,,,1,01-Sept-2011
Middle Shabelle,Cadale,2.26,0.19,30000,24000,24000,26000,925000,40000,39,2,,,,,,,,,,,2,01-Sept-2011
Banadir,Mogadishu,8.03,,15000,16000,13333,27000,1200000,50000,90,4,3415569,,,,,,,,,,2,01-Sept-2011
Lower Shabelle,Marka,6.73,0.48,29000,19317,9733,26000,1240000,30250,127,3,3518865,,,,,,,,,,3,01-Sept-2011
Lower Shabelle,Afgooye,5.51,0.31,,10952,13000,25500,1295000,47500,100,4,2607067,,,,,,,,,,0,01-Sept-2011
Lower Shabelle,Baraawe,11.61,0.33,15000,,12750,26000,1350000,42500,106,4,,,,,,,,,,,2,01-Sept-2011
Lower Shabelle,Kurtunwaarey,10.33,0.37,10000,,8750,24500,1145000,55250,131,7,,,,,,,,,,,2,01-Sept-2011
